EmployeeID,Age,Gender,Department,JobRole,MonthlyIncome,JobSatisfaction,EnvironmentSatisfaction,YearsAtCompany,YearsSinceLastPromotion,OverTime,Attrition
1,50,0,2,3,18563,1,2,5,4,1,0
2,36,0,1,4,6568,2,1,4,1,1,0
3,29,1,1,0,12847,2,1,7,1,1,0
4,42,1,1,3,17135,1,3,1,6,1,0
5,40,1,0,3,4742,2,4,15,7,1,0
6,44,0,2,4,3619,1,2,19,9,0,0
7,32,1,2,3,4939,1,1,11,7,0,0
8,32,0,0,0,19001,4,3,5,3,0,0
9,45,0,2,3,3968,3,3,0,0,1,0
10,57,1,1,0,17846,4,2,3,6,1,0
11,45,1,1,4,3281,3,2,16,0,1,0
12,24,0,1,1,18360,3,3,12,3,0,0
13,43,0,2,3,9262,3,1,17,7,0,0
14,23,1,1,1,4058,2,3,4,1,1,0
15,45,1,0,0,13724,4,4,2,5,0,1
16,51,1,0,3,8178,3,4,10,5,1,0
17,59,1,2,2,9980,1,2,12,8,0,0
18,23,1,0,1,12200,2,1,3,4,0,0
19,42,0,0,3,4229,4,1,13,9,0,0
20,54,0,2,1,11467,3,4,10,3,1,0
21,33,0,1,3,5289,1,3,9,4,0,1
22,43,0,1,4,4239,4,2,18,9,0,0
23,46,1,1,1,8370,4,3,17,4,1,0
24,48,1,2,2,19170,2,3,5,7,0,0
25,49,1,0,2,3125,4,3,14,9,1,0
26,37,0,1,0,15504,2,1,9,7,1,0
27,36,0,1,3,18398,3,4,4,1,1,1
28,24,1,2,1,9638,2,1,4,6,1,0
29,58,1,1,0,9570,1,4,9,7,1,0
30,28,0,2,1,6249,2,2,4,5,0,1
31,42,0,0,3,12110,1,2,2,4,1,0
32,30,1,2,2,10595,2,3,5,8,1,0
33,39,1,2,4,16605,4,4,3,2,1,0
34,25,0,2,2,15115,3,4,17,9,1,0
35,46,1,2,0,9294,1,4,8,3,0,1
36,35,1,0,4,8757,2,3,16,8,1,1
37,30,1,0,0,15595,2,3,12,5,0,0
38,47,0,1,3,4969,2,2,14,7,1,0
39,23,0,0,4,13985,4,1,19,6,0,0
40,41,0,0,0,7470,4,4,16,1,1,0
41,49,0,1,3,13225,1,4,12,2,1,0
42,28,0,0,2,12556,1,1,15,0,0,0
43,29,0,2,3,12206,4,4,3,8,1,0
44,56,0,2,1,12991,1,3,4,6,0,0
45,35,1,1,3,10519,3,3,4,0,1,0
46,38,1,1,3,16669,3,4,8,2,0,1
47,57,1,1,1,7612,4,3,16,3,1,0
48,25,1,2,0,15373,1,3,12,3,1,0
49,23,1,0,0,18552,2,4,1,4,0,0
50,27,1,2,3,17646,3,2,12,2,1,0
51,25,1,1,1,8238,4,1,18,2,1,0
52,50,0,0,1,18577,1,3,2,0,1,0
53,39,0,0,2,18504,4,2,9,6,1,1
54,47,1,2,0,6719,2,3,1,9,1,1
55,55,1,1,4,3302,3,3,12,0,1,0
56,31,0,2,0,15144,4,1,18,1,0,1
57,57,1,0,0,13055,4,3,16,3,0,0
58,35,1,2,2,7440,4,1,13,3,0,0
59,52,0,2,4,6072,2,1,11,4,1,0
60,36,1,1,2,16598,4,1,11,1,0,0
61,29,0,1,4,17287,2,2,10,3,1,0
62,35,1,0,3,16965,2,4,6,0,1,0
63,44,0,2,4,12519,2,2,3,1,1,0
64,42,0,2,2,16380,3,4,18,0,1,1
65,37,0,2,0,14865,3,4,0,9,0,0
66,39,1,0,4,11125,4,1,2,9,1,0
67,45,0,0,4,6291,4,3,12,3,0,0
68,47,1,1,1,7033,3,1,14,3,1,0
69,46,1,1,0,8105,1,3,1,6,0,1
70,50,1,1,3,11133,3,4,10,9,0,0
71,36,1,2,2,19958,2,1,3,8,0,0
72,22,0,2,3,8704,3,3,18,8,0,0
73,46,0,1,0,10848,2,2,16,4,0,0
74,28,1,2,4,15975,4,3,2,9,0,0
75,30,1,1,4,9924,1,1,17,0,1,1
76,45,0,0,0,3488,4,2,7,0,0,0
77,22,1,1,4,10114,2,3,18,5,1,1
78,29,0,0,4,18740,2,3,4,1,0,0
79,45,1,2,4,6173,2,3,6,7,1,0
80,32,1,1,2,4667,1,3,7,8,0,0
81,38,0,2,2,7114,3,3,4,3,0,0
82,29,1,0,1,6553,4,2,16,4,1,1
83,56,0,0,3,10761,4,4,4,7,0,0
84,56,1,0,0,4000,3,2,3,2,0,1
85,54,1,2,0,18638,4,2,18,4,0,0
86,26,1,2,0,8450,1,2,1,2,1,0
87,49,0,2,1,6712,4,4,10,9,0,0
88,28,1,2,2,4367,2,1,12,2,1,0
89,30,1,0,1,11189,3,4,14,2,0,1
90,29,1,0,0,12013,1,2,11,6,0,1
91,33,1,1,3,19838,3,3,10,6,1,1
92,55,0,1,4,6726,1,3,6,6,0,0
93,54,0,2,2,7806,2,2,4,9,0,0
94,44,1,0,2,5190,3,3,16,7,1,0
95,45,0,0,1,12108,4,2,19,4,0,0
96,58,1,0,2,15178,1,3,8,4,1,0
97,56,1,1,0,5875,3,4,13,3,1,0
98,43,1,1,0,8592,4,1,11,6,1,0
99,48,0,0,1,15592,3,1,5,9,0,0
100,56,0,0,0,11927,3,4,16,3,1,0
