EmployeeID,Age,Gender,Department,JobRole,MonthlyIncome,JobSatisfaction,EnvironmentSatisfaction,YearsAtCompany,YearsSinceLastPromotion,OverTime,Attrition
1,50,Female,Sales,Research Scientist,18563,1,2,5,4,Yes,No
2,36,Female,Research & Development,Sales Executive,6568,2,1,4,1,Yes,No
3,29,Male,Research & Development,Human Resources,12847,2,1,7,1,Yes,No
4,42,Male,Research & Development,Research Scientist,17135,1,3,1,6,Yes,No
5,40,Male,Human Resources,Research Scientist,4742,2,4,15,7,Yes,No
6,44,Female,Sales,Sales Executive,3619,1,2,19,9,No,No
7,32,Male,Sales,Research Scientist,4939,1,1,11,7,No,No
8,32,Female,Human Resources,Human Resources,19001,4,3,5,3,No,No
9,45,Female,Sales,Research Scientist,3968,3,3,0,0,Yes,No
10,57,Male,Research & Development,Human Resources,17846,4,2,3,6,Yes,No
11,45,Male,Research & Development,Sales Executive,3281,3,2,16,0,Yes,No
12,24,Female,Research & Development,Laboratory Technician,18360,3,3,12,3,No,No
13,43,Female,Sales,Research Scientist,9262,3,1,17,7,No,No
14,23,Male,Research & Development,Laboratory Technician,4058,2,3,4,1,Yes,No
15,45,Male,Human Resources,Human Resources,13724,4,4,2,5,No,Yes
16,51,Male,Human Resources,Research Scientist,8178,3,4,10,5,Yes,No
17,59,Male,Sales,Manager,9980,1,2,12,8,No,No
18,23,Male,Human Resources,Laboratory Technician,12200,2,1,3,4,No,No
19,42,Female,Human Resources,Research Scientist,4229,4,1,13,9,No,No
20,54,Female,Sales,Laboratory Technician,11467,3,4,10,3,Yes,No
21,33,Female,Research & Development,Research Scientist,5289,1,3,9,4,No,Yes
22,43,Female,Research & Development,Sales Executive,4239,4,2,18,9,No,No
23,46,Male,Research & Development,Laboratory Technician,8370,4,3,17,4,Yes,No
24,48,Male,Sales,Manager,19170,2,3,5,7,No,No
25,49,Male,Human Resources,Manager,3125,4,3,14,9,Yes,No
26,37,Female,Research & Development,Human Resources,15504,2,1,9,7,Yes,No
