video_id,title,category,country,views,likes,dislikes,comment_count,tags,publish_time,trending_date
vid_0,How to win every game,Entertainment,US,404540,33254,8952,39314,tag69|tag133,2025-01-08 14:04:11.053170,2025-06-09
vid_1,Top 10 amazing facts,Education,US,2625075,262987,1772,16435,tag51|tag178,2025-05-23 14:04:11.053189,2025-06-09
vid_2,What happens next will shock you,News,US,4949003,48362,7111,28702,tag12|tag120,2025-01-27 14:04:11.053199,2025-06-09
vid_3,Learn this skill fast,Education,IN,4452987,283272,7684,49001,tag53|tag188,2025-01-12 14:04:11.053208,2025-06-09
vid_4,Dont miss this video,Education,US,36790,243353,6132,34550,tag43|tag198,2024-09-05 14:04:11.053217,2025-06-09
vid_5,Breaking news update,Gaming,GB,1701738,191455,491,32296,tag89|tag150,2024-10-20 14:04:11.053227,2025-06-09
vid_6,How to win every game,News,GB,2918873,66545,163,5726,tag29|tag157,2024-07-30 14:04:11.053237,2025-06-09
vid_7,The real story behind,News,US,458345,83180,7627,7524,tag39|tag195,2024-10-24 14:04:11.053247,2025-06-09
vid_8,The real story behind,News,GB,759074,88958,1534,12957,tag56|tag143,2025-01-21 14:04:11.053258,2025-06-09
vid_9,The real story behind,Education,US,3695501,6287,2130,45023,tag50|tag123,2024-11-10 14:04:11.053269,2025-06-09
vid_10,Best tricks for 2025,Entertainment,US,1889490,258665,2353,20082,tag44|tag138,2025-05-12 14:04:11.053278,2025-06-09
vid_11,The real story behind,News,GB,3897857,9512,5146,11525,tag84|tag123,2025-04-19 14:04:11.053287,2025-06-09
vid_12,Best tricks for 2025,Education,US,4994445,133414,5770,2080,tag45|tag152,2024-09-21 14:04:11.053296,2025-06-09
vid_13,Best tricks for 2025,Gaming,GB,3186083,109872,1250,48390,tag80|tag150,2024-09-21 14:04:11.053306,2025-06-09
vid_14,What happens next will shock you,Entertainment,IN,1464908,248754,70,26531,tag8|tag185,2024-06-24 14:04:11.053315,2025-06-09
vid_15,How to win every game,Gaming,US,2263694,94070,9140,19540,tag1|tag108,2024-06-22 14:04:11.053324,2025-06-09
vid_16,What happens next will shock you,Entertainment,IN,3329144,80767,1649,41852,tag29|tag196,2025-06-01 14:04:11.053333,2025-06-09
vid_17,Breaking news update,Education,GB,315062,98829,6195,17275,tag5|tag186,2024-07-24 14:04:11.053342,2025-06-09
vid_18,Watch this now,Music,IN,4959499,43078,7980,48751,tag47|tag134,2025-01-22 14:04:11.053352,2025-06-09
vid_19,Top 10 amazing facts,Entertainment,IN,2397312,84524,1262,26485,tag65|tag155,2025-05-02 14:04:11.053361,2025-06-09
vid_20,Learn this skill fast,Gaming,GB,3703976,228645,4213,38258,tag90|tag143,2025-02-18 14:04:11.053369,2025-06-09
vid_21,Incredible transformation,Education,IN,4418224,13219,8373,23119,tag74|tag130,2024-11-01 14:04:11.053376,2025-06-09
vid_22,The real story behind,Entertainment,IN,4045493,263379,9660,18739,tag82|tag117,2024-07-07 14:04:11.053384,2025-06-09
vid_23,Top 10 amazing facts,Music,GB,3398532,128309,3559,20094,tag26|tag108,2024-10-29 14:04:11.053392,2025-06-09
vid_24,Learn this skill fast,Music,IN,1435541,140639,4207,34475,tag47|tag176,2025-01-24 14:04:11.053400,2025-06-09
vid_25,Watch this now,News,GB,1881403,197513,7019,21663,tag91|tag172,2024-09-26 14:04:11.053408,2025-06-09
vid_26,Top 10 amazing facts,News,IN,4858287,249320,6677,39441,tag89|tag146,2024-06-14 14:04:11.053416,2025-06-09
vid_27,What happens next will shock you,Gaming,GB,831052,137487,2332,5876,tag68|tag133,2024-07-15 14:04:11.053424,2025-06-09
vid_28,Dont miss this video,Entertainment,GB,1817150,168231,9838,36544,tag1|tag119,2025-04-21 14:04:11.053431,2025-06-09
vid_29,Best tricks for 2025,Entertainment,IN,2235300,44925,4100,3480,tag31|tag180,2024-08-21 14:04:11.053439,2025-06-09
vid_30,Dont miss this video,News,IN,1865567,138023,6970,8811,tag14|tag153,2024-07-20 14:04:11.053447,2025-06-09
vid_31,Incredible transformation,Entertainment,IN,1544837,88388,3014,8882,tag48|tag169,2025-03-23 14:04:11.053454,2025-06-09
vid_32,Watch this now,Entertainment,US,3511268,9007,5146,17534,tag90|tag162,2025-02-24 14:04:11.053462,2025-06-09
vid_33,How to win every game,Music,US,3348442,258802,339,46865,tag92|tag166,2024-12-22 14:04:11.053470,2025-06-09
vid_34,Learn this skill fast,News,US,4936203,59596,3650,20117,tag64|tag170,2024-11-04 14:04:11.053478,2025-06-09
vid_35,Dont miss this video,Education,GB,4464051,256266,7992,30807,tag63|tag173,2025-02-10 14:04:11.053486,2025-06-09
vid_36,What happens next will shock you,News,IN,4819954,16524,4117,39210,tag33|tag141,2024-12-01 14:04:11.053493,2025-06-09
vid_37,The real story behind,Education,GB,433570,156002,1351,17443,tag89|tag148,2024-09-27 14:04:11.053501,2025-06-09
vid_38,Incredible transformation,Music,US,2383139,126501,8417,38927,tag13|tag173,2024-09-16 14:04:11.053509,2025-06-09
vid_39,Dont miss this video,Gaming,IN,868158,283755,348,41752,tag77|tag131,2025-01-11 14:04:11.053516,2025-06-09
vid_40,Watch this now,Entertainment,GB,2124792,149056,5905,5755,tag75|tag168,2024-12-27 14:04:11.053524,2025-06-09
vid_41,Incredible transformation,Music,IN,62528,15060,2718,44959,tag98|tag104,2025-01-20 14:04:11.053532,2025-06-09
vid_42,How to win every game,Entertainment,GB,1883421,215057,1760,15351,tag19|tag170,2024-06-27 14:04:11.053540,2025-06-09
vid_43,Watch this now,Gaming,IN,2608260,191279,5614,626,tag98|tag182,2024-09-24 14:04:11.053547,2025-06-09
vid_44,Watch this now,Gaming,US,1427077,207118,2431,3324,tag13|tag123,2024-09-13 14:04:11.053555,2025-06-09
vid_45,Watch this now,Music,US,3305887,161359,7129,47937,tag83|tag175,2024-12-10 14:04:11.053563,2025-06-09
vid_46,Incredible transformation,Gaming,IN,3328230,40711,8911,11636,tag1|tag188,2024-12-31 14:04:11.053571,2025-06-09
vid_47,Watch this now,Education,GB,2262728,144026,5329,28641,tag54|tag171,2024-06-23 14:04:11.053578,2025-06-09
vid_48,Breaking news update,Gaming,US,2495195,219134,6619,13647,tag89|tag185,2024-08-25 14:04:11.053586,2025-06-09
vid_49,Dont miss this video,Entertainment,US,4270507,103974,5397,34631,tag15|tag165,2024-08-25 14:04:11.053594,2025-06-09
vid_50,Learn this skill fast,Entertainment,US,170775,150646,4003,8812,tag76|tag171,2024-10-26 14:04:11.053602,2025-06-09
vid_51,Best tricks for 2025,Entertainment,IN,2677867,151168,8690,38665,tag15|tag121,2025-05-29 14:04:11.053609,2025-06-09
vid_52,Breaking news update,Entertainment,IN,1573299,68728,8054,9308,tag19|tag160,2025-05-30 14:04:11.053617,2025-06-09
vid_53,Dont miss this video,Education,GB,3479401,166088,8248,5209,tag93|tag189,2024-09-11 14:04:11.053625,2025-06-09
vid_54,Watch this now,News,GB,3785803,12246,4883,49368,tag33|tag149,2024-09-09 14:04:11.053633,2025-06-09
vid_55,Best tricks for 2025,Music,GB,1354027,93263,4816,35301,tag96|tag135,2024-12-08 14:04:11.053640,2025-06-09
vid_56,What happens next will shock you,Entertainment,IN,4176500,12302,8602,17067,tag44|tag190,2025-01-07 14:04:11.053648,2025-06-09
vid_57,Watch this now,Gaming,IN,801267,42157,5923,29859,tag11|tag199,2024-07-29 14:04:11.053656,2025-06-09
vid_58,Dont miss this video,Entertainment,GB,507562,55917,7134,20272,tag72|tag178,2024-07-10 14:04:11.053665,2025-06-09
vid_59,The real story behind,Gaming,GB,3858693,224810,3167,37035,tag74|tag166,2025-02-05 14:04:11.053674,2025-06-09
vid_60,Dont miss this video,Gaming,IN,4588238,97646,400,26689,tag46|tag109,2025-02-15 14:04:11.053682,2025-06-09
vid_61,The real story behind,Entertainment,GB,4047776,287663,4440,30115,tag3|tag185,2024-09-04 14:04:11.053691,2025-06-09
vid_62,Incredible transformation,Education,US,2014168,268552,8830,29109,tag26|tag172,2024-11-08 14:04:11.053699,2025-06-09
vid_63,Breaking news update,Gaming,IN,4020912,60379,7696,17873,tag48|tag166,2024-12-19 14:04:11.053708,2025-06-09
vid_64,Incredible transformation,Gaming,GB,4521732,26053,4242,41225,tag70|tag128,2024-08-25 14:04:11.053716,2025-06-09
vid_65,How to win every game,Entertainment,IN,4895211,132994,8017,26243,tag93|tag126,2024-12-17 14:04:11.053725,2025-06-09
vid_66,Learn this skill fast,Gaming,US,2189996,99723,1531,6254,tag25|tag112,2025-02-16 14:04:11.053734,2025-06-09
vid_67,Learn this skill fast,Gaming,IN,1610396,52356,9028,21904,tag5|tag198,2025-02-07 14:04:11.053743,2025-06-09
vid_68,Learn this skill fast,Entertainment,IN,3321149,273933,1510,41788,tag48|tag137,2025-05-08 14:04:11.053751,2025-06-09
vid_69,Breaking news update,Entertainment,IN,132402,33154,6747,20681,tag79|tag144,2024-10-30 14:04:11.053758,2025-06-09
vid_70,How to win every game,Music,IN,1176588,214942,3304,30187,tag15|tag143,2025-02-10 14:04:11.053767,2025-06-09
vid_71,How to win every game,Education,US,4642965,265480,5095,33081,tag48|tag187,2025-05-01 14:04:11.053774,2025-06-09
vid_72,The real story behind,Education,IN,2506081,282173,2429,3862,tag70|tag146,2024-09-14 14:04:11.053781,2025-06-09
vid_73,Incredible transformation,Gaming,IN,2687618,33265,9136,46267,tag43|tag121,2024-10-19 14:04:11.053789,2025-06-09
vid_74,What happens next will shock you,Education,GB,4777999,244322,3052,9868,tag23|tag180,2025-05-22 14:04:11.053797,2025-06-09
vid_75,How to win every game,Gaming,IN,4667860,175944,4507,43508,tag47|tag115,2025-01-11 14:04:11.053805,2025-06-09
vid_76,The real story behind,Music,GB,585278,47197,1476,39599,tag25|tag136,2025-01-11 14:04:11.053812,2025-06-09
vid_77,Incredible transformation,Entertainment,US,1188049,155782,3571,38659,tag75|tag151,2025-02-03 14:04:11.053820,2025-06-09
